,reviews
572, rio de janeiro to london heathrow love this aircraft only a class business world traveller plus and economy class cabins in business class front rows and rear rows i had seat a in my opinion the seat window seat with a bit more space than the usual seat at a little extra helps very private tucked behind second galley area toilet is over the other side j k i settled in to sleep and did not have an evening meal crew very accommodating as they offered water bottles immediately a good few hours sleep as normal and woke up about minutes before breakfast i really enjoyed the fruit yoghurt muesli and the full english breakfast all in all great service good flight and felt fully relaxed 
573, gatwick to tirana i was incredibly disappointed by the service provided on this flight because it was virtually impossible for me to differentiate what made this flight different from being in economy business class passengers boarded at the same time as economy class passengers there was no curtain dividing economy class from business class and the people in economy class had taken the liberty of removing my cabin bag from my space above my seat to three seats behind me the seats were the same seats you have in economy the difference being that the middle seat is empty thus creating a divide between window and aisle seats i encountered odd problems with the meal as well the lovely cabin crew member notified me that i had no other choice but to eat pasta for dinner because other choices had finished you are better off in economy as you pay less and get the same service flight left on time and landed early british airways have in my opinion the best inflight w fi service for pounds you get unlimited very high speed wi fi where you can stream youtube videos they offer cheaper packages as well where you can get unlimited texts 
574, keflavik to london heathrow cabin crew were amazing weather was terrifying as we drove to the airport so we knew things were going to be tough expecting a delay and seeing other european flights were cancelled we expected the same but then were surprised to see our flight boarding snow in blizzard conditions we were surprised but got settled in our seats crew very friendly and a long story short after hours on the ground waiting for the di icing machine we finally made our way to take off all the staff were so relaxed and calm with all passengers including those who had connecting flights they sat with each one and personally looked at their options the ba online app to help them non alcoholic drinks and snacks were provided during this time the first officer kept us informed all the time that is was not ba fault that the de icing machine was delayed so much eventually procedures done we were ready for take off how the pilot and team managed this in these conditions i will never now but it was a smooth take off an when through the clouds a smooth journey all the way back to heathrow cabin crew provided excellent service being business we were lucky to have champagne and our meals were excellent veg shepherds pie and chicken curry both lovely so just want to thank you ba we know you get a lot of negative reviews but this is to say we can t fault you particularly the crew who made a real effort to talk to all of us well done 
575, fly economy and you ll be paying more for an awful service the london to vancouver route uses old planes the oldest inflight entertainment systems and my food was inedible 
576, my partner and i spent christmas in tokyo the flight over was enjoyable the staff were polite and helpful and it all ran smoothly our experience back home was completely different the staff were incredibly rude and lazy the flight was hours and mid flight my partner asked for a bottle of water the lady very rudely said she was going the other way and that my partner could head to the back and help herself my partner headed to the back where there were two more ladies sitting and when requested they pointed to a shelf my partner got the water from both our tv s stopped working mid flight also for a period of minutes we asked the staff if they could fix the problem the lady said she would try while sighing as year olds deciding on which airline brands to remain loyal to i can tell you british airways will not be it terrible customer service 
577, london to hong kong at the entrance to the ba business lounge there was a sign saying silver and gold members only my membership had just dropped to bronze while my wife s remained at silver at the reception desk i asked why bronze wasn t allowed and was only told i could enter as a guest of my wife s when i got to the entrance we showed our boarding passes and i can only assume the lady must have overheard our previous conversation as my wife was asked if she was bringing me in as her guest no warm greeting just a job s worth high handed attitude neither of the ba reps bothered to check my boarding pass properly had they done so they would have seen that it was a business class ticket and i had the right to enter under my own steam anyway fortunately the cabin staff were friendly and much nicer 
578, los angeles to london heathrow if i could give ba a zero stars i would they have the worst customer service i ve flown many airlines around the world with my family but surely we will never fly with british airways again they gave our seats away on the return flight and would not address this after purchasing expensive business class tickets months in advance to ensure that our family flew hour flight together the flight to london didn t have the best service most toilets were out of service the beds in business class are the most uncomfortable of all business class i ve flown the check in process at heathrow was disastrous the most inefficient process with no human assistances the limited ones available were all slammed with line of customers i would highly suggest you refrain from using this carrier i wish i would have done a bit of research prior to flying with them 
579, istanbul to london we had to wait for ages to check into our flight after being advised to turn up hrs before departure time to check in we had to wait for minutes before any check in staff turned up once they did the staff were surly and rude on the flight and there was no ife no free drink or snack or a map to track the flight the onboard crew were a bit chaotic serving m s food for purchase the flight was not delayed by too much and relatively smooth however the ba product is now tired and slightly pathetic 
580, london to bucharest on my flight the hot food finished half way through i was seated on row and by the time the food cart reached my row there were no sandwiches left to purchase the fitting of the cabin was horrendous seat change from one row to the other h before take off cost me an additional gbp 
581, london heathrow to rio de janeiro not the usual aircraft for this route but it is one of my favourites this aircraft today has a first class but was flown empty as it usually only offers club world flight not full seated in f aisle seat no one in the middle seat so very pleasant it is away from the toilet over at a b but next to galley area which was great as it is a day flight food pre ordered was very good as usual plenty of drinks offered crew very keen to assist again nothing any trouble at all i did watch some films but i had already been on a previous ba long haul so was not really looking for much i had some rest as it was a long day and i getting a cold arrived late due to a technical problem at heathrow they managed to fix the problem on the taxiway to the runway but after an hour i must say i didn t really need to be told they were trying to fix the problem rather than return to the departure gate all in all another very good flight 
582, london to athens the aircraft and the flight quality were good but they don t provide free food and drink it was unacceptable they did not have sufficient supply for goods they were selling so it ended quickly 
583, copenhagen to london super slow had to wait for buses which were delayed also packed the buses to tight with people where too far from arrival terminals service bad from staff coming to terminal is the worst terminal on heathrow the food and beverage on board was terrible for the price for the price of the airline ticket the whole experience was way below expected service and time of staff 
584, budapest to billund return via london on and dec a aircrafts check in in budapest had a narrow timeslot of hours before departure with long queues i was not recognised as oneworld elite flyer hold a gold card with qatar airways at check in and had to struggle to get bags accepted as inscribed luggage i was denied lounge access as qr does not honour rd party lounges any more unless flying on qr there is no oneworld lounge in budapest so ba uses menzies lounge who would not accept me unless i was with an entitled oneworld card different from qatar airways for ba i do not have status in london granted access to any oneworld lounge onboard food and drinks with hefty price tags water is not free flights were full but on time i found that the onboard charity collection by fas is inappropriate and intrusive luggage delivered perfectly return trips legs were both full flights but departed slightly early granted lounge access in billund in the decent king amlet and ba galleries first in t in london loads of good hot foods and good beers and wines onboard there is no ife no seat recline mediocre not cheap but the ffp is among the best in oneworld and the gold status of ba is very rewarding 
585, i recently flew from cape town in south africa via london to brussels it was our anniversary and we were treated to a glass of bubbly after take off the staff were so friendly and i cannot even complain about the food served on board which i might add i seldom enjoy food served on flights 
586, sydney to toulouse via singapore london boeing and ife ancient the comfort and service superb highlight on the tls lhr sector a celebratory treat with mince pie christmas cake brandy butter which combined with a g t hit the spot you could argue it should be free but i m not complaining i do miss the ba quality of service but compared to the me airlines you re still pretty good 
587, sofia to london a good overall experience departure experience let down by poor airport lounge in sofia and complete failure to honour priority boarding flight experience generally good and arrival experience at heathrow very good and efficient 
588, my husband and i had a wonderful flight to barbados the cabin crew were very friendly and nothing was too much trouble josey and her team were made the the journey amazing having flown with virgin for many years i can say it s night and day tank you your staff are amazing we will be british airways in the future many thanks 
589, london to munich ba on december delayed by mins dated not very clean a boarding process was slow and asking passengers to check their hand luggage turns out plane is half empty no complementary drinks and snacks will be served on this flight with buy onboard in economy never again 
590, hong kong to london i booked a return ticket for my sister though ba provided travel document details they required however when we got to the airport we found out my sisters middle name was not on her ticket and it therefore didn t match her passport name they refused to let her fly after much hassle and my sister getting a temporary visa they enable her to fly however once landing in london i acknowledged that she may have the same problem flying back to taiwan igot in contact with bas executive phone helpline service yet spending a day speaking to them they have only caused me to speak to numerous different people all telling me to do different things we have still not resolved the issue of her ticket not having her middle name on ba are refusing to alter the ticket information to add my sisters middle name onto the ticket they have not been helpful on the phone when i asked them to add her middle name and are not interested in try to solve the issue at hand they were insistent on speaking to my sister who is from taiwan and i told them she is unable to speak english and that i can translate any question for her they did not allow this so she was put on the phone however they only spoke english to her 
591, my husband and i used british airways to fly from london to paris this past august when we arrived at airport we needed to pay for bags was charged times for one bag after i was assured charges didn t go through have been trying to get a refund from ba since they give you a phone number to call for these claims only to never answer the phone they have you do a claim online only to never respond to your emails i sent them the bank statements and credit card statement showing that i had been charged times for one bag only months later did they finally respond to the claim claiming i had two bags and despite the fact that i sent documentation showing charges and confirmed with bank and credit card that the charges had gone through they only saw two charges and since i had two bags they didn t owe me any money they force you to communicate via email and then don t respond they owe me usd and refuse to give me my money at this point 
592, new york to london i was on the last flight out at pm and this is clearly the cheaper version in all respects the boeing certainly showed its age ife screen was tiny seat was well used the flight time was quick hours and thats about it fa is highly professional to the point of being unfriendly to me the f b was standard and not taken as i had eaten something earlier i m a one world emerald and the cabin manager did not greet me its a small touch and in the grand scheme of things means little but is an acknowledgement that you spend time and money with that carrier usually followed by a drink or two 
593, austin to london along with an purchase price for each of two roundtrip tickets for my wife and daughter ba charged an additional for seat reservations to ensure they sat together when they went to check in those seat reservations in both directions had been given away and family had to sit in different seats back home i applied for a refund of the seat fee and was told there was no proof i paid for them i have credit card charges and email confirmations clearly stating these charges were made but there is no process to upload those documents to ba 
594, frankfurt to london with british airways awful airline put me and my wife at opposite ends of the plane even though we booked together gave me middle seat even though many others were free a childish airline which charges a premium and then goes out to make the journey difficult for you if you don t book biz class avoid 
595, london to glasgow with british airways flight is again delayed it s not like it s a one off as it s delayed every week like a bad joke really a poor yet very expensive airline who i wouldn t recommend to any traveller 
596, london to san francisco this flight was a delight friendly relaxed crew good food and wine and a main deck club world cabin that was nearly empty if you manage your expectations with ba club world and everything goes as it should then you shouldn t be disappointed yes the rollout of the new club world suite has been a long time coming however the food service has improved considerably ba are trying valiantly to regain their long gone moniker of world s favourite airline the has seen better days however given they re being removed from most airline s passenger services you should take the opportunity to fly one before they re gone i m gradually regaining my confidence in ba 
597, heathrow to belfast great service in belfast but absolutely shocking in t at heathrow very rude check in staff when told we had to print out boarding passes and also for our suitcases totally disgusted cabin crew were lovely on the flight to belfast on th december 
598, london to singapore i was apprehensive about flying ba club world after reading many negative reviews i was however surprised firstly they are not on part with sq or qr but to be fair i found them to be one of the most reasonably priced offerings you get what you pay for the seat while old is perfectly comfortable with plenty of space the window seats are best for privacy i am tall and had no issues sleeping in fact i slept for almost hours the service and food out of london was top notch fresh and plentiful which is a welcome contrast to the tiny meals you receive on qantas service was consistent polite and very attentive drinks and water continually topped up i was truly impressed the return flight s service was very average and quite sloppy but let s focus on the positives 
599, toulouse to london i m a able bodied fit ba customer and silver member and was seated at an emergency exit seat i d put away all items and had fastened my seatbelt in full compliance of regultions a cabin crew member came to my row to point out the security exit and safety card and i was listening to him and responding despite this he ordered me to take out my cabin pressure equalizers which he called earplugs i explained to him that i needed to keep them on to protect my ears as the doors were already closed and i can suffer from ear problems when i fly i told him i could hear him perfectly as demonstrated by our vocal exchange despite this he kept talking over me and threatened to remove me from my seat should i fail to follow his order after i begrudgingly took them off he once again ordered me to do it or be removed from my seat and i pointed out i already had i then asked to speak to the purser who came to see me after take off i told him his cabin crew member was unnecessarily rude and needed customer care training or indeed to look for a new job i wrote in to british airways with my complaint but they have not even bothered to respond awful rude airline 
600, london heathrow to stockholm business class short haul is what it is seats are the same as in economy but with no one sitting in the middle seat but you get served drinks and food proper gin for the g t and good food 
601, johannesburg to london we had limited recline seats on an hour overnight flight at checked in we asked and were told we had good seats completed a complaint and asked why ba thought this was ok how come their representatives are allowed to lie never flying ba again 
602, johannesburg to london the recently refurbished first and club world lounge at jnb has failed to resolve the congestion when passengers from the two evening flights to lhr descend on it there s more table space for eating and the food has improved but poor acoustics mean intrusion on privacy crying babies and facetime calls add to the restless maelstrom of human activity boarding was reasonably quick although there was the usual confusion about group queues the predominantly young mixed fleet crew were competent but lacked finesse and kept on getting drinks orders muddled the meal service took ages because of some unidentified problem with heating the main course the food itself wasn t at all bad when it was finally served the cabin temperature wasn t too hot and we both slept quite well arrival was ten minutes ahead of schedule and baggage collection was quick overall a good flight despite the aged club world product 
603, london heathrow to miami flying the boeing unfortunately ba hasn t done much work on their first class on these aircraft seats are flat bed but you have that wedge in the front that even for my makes the beds small and since it s so narrow your feet get clamped if you sleep on your side these seats are business class on for example qatar airways and i still think a first class ticket should include wifi but as always the service excel and the crew are so friendly and helpful meals are impeccable 
604, stockholm to london heathrow as always ba works excellent with service on the ground and in the air they still have a good gin aboard for a decent g t and even if the meals in business looks like the came from the s economy they taste great 
605, london to sydney via singapore flight left on time cabin crew where fantastic meals were great leaving london we had a chicken stir fry and landing into singapore at we were served an english breakfast which i can eat any time of day but wife thought it was a bit odd at singapore all passengers had to disembark the aircraft while it was refuelled and clean when re boarding you had to go through a security check at the gate we were on the ground in singapore for hour min nd leg to sydney was great also food and drink service was great again hours long haul flight was comfortable we had exit row seating for entire flight which i recommend to anyone over ft tall 
606, london to new york jfk we were booked on brussels airlines two of us which cancelled the flight and rerouted us on ba the flight bru to london was fine but the transatlantic leg and heathrow airport terminal were utter nightmares never again will i go to or through heathrow however this review is about ba s to jfk an aircraft that was in such a sorry state that it should have been junked years ago how does ba have the gall to call its service business class the seats were tiny and wrapped in plastic chicken coop partitions that rattled and even fell down on several occasions let me add that we faced backwards and looked at a filthy wall cabin service was friendly and the food was actually quite decent aside from that i now understand why ba has such a horrendous and well deserved reputation never again 
607, the first thing is the shortage of staff the business cabin is quite large and eight across and seem to be serviced by one or two people each side it meant that the drink after takeoff did not appear for an hour after the order was taken unfortunately although they were pleasant the staff were not up to the mark and appeared very undertrained i asked a young man to turn on the reading light and he claimed there weren t any i showed him the one by my seat and after fiddling with it he said it must be broken at the end of the flight i discovered the switch despite being a newly configured plane the dividing screen kept dropping i had to ask for a cup of tea times there was only a choice of two reds and two white wines and considering the number of people in the business section i cannot understand why they would not offer a third there was port on the menu but was never offered with cheese every time the next course came out the setting was not ready to accept it due to plates and glasses from previous course many people had clutter uncleared for an hour after end of meal most of the courses were quite small portions and by the end of the meal i was ready for a mini snack i am not a big eater but i was peckish the layout of the business cabin is cramped i am and i could not stretch out the seats and legroom are extremely narrow and people in the centre two rows and the window seats have to climb over other passengers this means no one has a easy seat you either have to climb or be climbed over i wonder how they can expect such a bad design to be accepted in the business market i travel on many airlines in business and ba is still the bottom of the pile and reluctantly the last one i would use the centre and window seats have their food and drinks served effectively through the service hatch across other customers unfortunately upon arrival at bridgetown the ba team didn t get any better after one hour minutes of waiting for my fast tracked luggage i approached a guy wearing a ba tabard and he just shrugged his shoulders i then found another guy who worked for the ground staff and he went outside and found about cases sitting by the tarmac doing nothing 
608, brussels to bangkok via london club world from london to bangkok on nov seats c and d it was a boeing with a seat configuration in the business cabin which gives the cabin a crowded impression the seats are comfortable with a flat bed mattress good selection of entertainment although a rather small screen the food menu offers different choices of starters main course and desserts the food was disappointing i had smoked salmon as a starter and british beef as main course my soup was cold mybeef was overcooked and quantity was economy class like the service is very friendly but not personal i m used to be adressed by my name when i fly business class while serving the meals they forget serving me wine the amount of cabin crew is not enough for a crowded business class cabin after dinner i went to sleep the seat is turned into a real bed with an extra mattress and a good pillow the space is narrow it is difficult to make the bed once the bed is made there is no place to put personal stuff i had a real good night of sleep though if your seat is not at the aisle you have to step over someones legs to go to the toilet the toilets are small and simple not cleaned frequently enough when i woke up breakfast service was running the breakfast is good yoghurt pastries fresh fruit and a full english breakfast overall british airways world club is a rather standard business class lacks personalized attention and lacks the feel good experience if ba wants to compete they have a long way to go i hope they can make it up a bit on our return flight 
609, san francisco to oslo via london the head support was damaged so i had to sit hours leaned forward the flight from san francisco was delayed so i missed my connecting flight in london to oslo i came first to the ba counter but received a new flight hours minutes later rude staff gave me a voucher for gbp 
610, i had a connection flight from london to berlin traveling with hand luggage i got through a automatic boarding gate and the man at the gate said that i need to check my baggage he has no right to grab my passport and boarding pass if the flight is full they should check overhead lockers if there arent any things which should be put under seats and where can fits more hand luggage the flight arrived in berlin minutes late 
611, london to johannesburg with british airways ba s b gates lounge is a rather more civilised place to pass time than the galleries lounges in the main terminal it s also a tad closer on the transit or via the rather useful walkway on level to the c gates where the a s depart from the new boarding by groups meant snaking queues but at least group moved fairly speedily the club world were still the same much maligned seats with the small unresponsive ife screens and limited selection of films the dinner service was slow because of the unwise introduction of individual trays brought to each seat trolleys may lack glamour but one does get off to sleep quicker on an overnight flight breakfast was adequate but nothing more landing was exactly on time overall a reasonable flight but the inflight service was distinctly average 
612, london to bangalore the flight from bangalore to london on november was delayed by hours that resulted in me missing the connection flight my return from london to bangalore was initially delayed by hrs we were assigned a boarding gate and after waiting at the gate for mins announcement was made the flight was delayed hrs mins due to maintenance 
613, london to sydney via singapore i would like to express my thanks and appreciation to the staff at the bag drop centre at heathrow when i lost my passport on thursday evening st november they spent nearly hours trying to locate it and it was eventually found mins before my flight was due to leave a big thank you to you all i would also like to thank the cabin crew on flight ba singapore to sydney november who were so kind after i was taken ill during the flight i was looked after so well 
614, lisbon to london i pay extra to check my bag to ensure i am not using more than my share of overhead space to have british airways charge me euros to check a bag to my final destination and then insist that my briefcase be put under the seat in a cramped aircraft to ensure there is room in the overhead bin for travelers too cheap to check their bags is an insult will never fly ba again 
615, ba operate daily shuttles from london to glasgow its a busy route and i m sure make money plus there is no competition however ba flights are rarely on time and the fee paying passenger s are fed stories about the aircraft was delayed en route from some far flung exotic location because i have several buses and trains to catch after i reach glasgow punctuality means a lot to me and not a lot to ba hence i m very disappointed with the service they provide 
616, doha to london surprisingly good flight ontime departure and early arrival by min very very attentive and friendly crew especially towards children food was halal since from doha clearly announced to passengers bag arrival was ok seat leg room and entertainment beyond my expectation 
617, london to buenos aires we paid extra on top of our holiday cost to fly with them as it was a direct flight firstly they cancelled our flight a few months before departure meaning we had to go a day earlier and pay an extra night in a hotel the plane was old and cramped making it difficult to get up and walk around during the hour flight the entertainment system was pathetic not much film choice a random selection of tv programmes and no games the drinks service was lacking my food was awful and there were no snacks offered in between on other long haul flights we have had comfort packs with toothbrush toothpaste etc no such offerings 
618, san francisco to london a is a wonderful aeroplane movie selection was below average staff were polite fist time i used the call button mid flight response was fast but on second occasion i was repeatedly ignored call button for minutes i don t see how that is acceptable 
619, sydney to singapore with british airways packed in like sardines in a tin can what a disappointment of an airline they pack you in and even getting to your seat is a debacle due to the cramped nature of the flight configuration you awkwardly stare at your fellow guests who sit right opposite you trying not to lock gaze my seat was so close to the aisle that at times it felt like people were walking over me to get past very narrow passage ways would not and could not recommended this airline these seats are at best premium economy 
620, london to mauritius we are fortunate enough to have flown with many different airlines including low cost carriers and also upper class cabins on other premium airlines without a shadow of a doubt the whole british airways experience is the poorest of them all both with the aeroplanes and seats the general service and experience but more importantly the poor customer service following the bad flight i truly feel that this airline deserves to go bust because of the truly disgraceful approach to service and the product they deliver i begrudge flying with them and given the option i always choose a different airline 
621, los angeles to amsterdam via london due to delayed take off i risked missing my connecting flight thanks to the excellent premium host service julie and her colleague i managed to be on time thank you very much 
622, london to vancouver i used to fly this aircraft and route for many years until it was no longer priced competitively i flew on the th and it was a remarkably bad experience food service was very poor in most aspects i had the chicken tandoori which was far too spicy for most palettes no drink was offered with the meal which was astonishing rather tea and coffee an obviously far cheaper offering was supplied soon after the dinner tray was handed i had to ask twice for a beer before it was delivered this then put me out of sync with the service the one time yes one time offer of tea and coffee was then obviously missed by me completely service itself was not good with no warmth or hospitality on a hr flight engagement is pretty critical our hostess host seemed to be only interested in those sitting in the extra legroom seats and essentially ignored everyone else the cold snack was a cold tasteless sandwich just prior to landing the entertainment system is a joke as it is so old i had become so accustomed to a normal newish tv screen that i was blown away that this system was still in place the screen size was the equivalent of your phone s no music selection worth talking about so i just used my ipad on this or similar routes i have flown air canada westjet virgin atlantic air transat ba was by far the worst and some of those airlines are budget in nature and offer paid meals only i cannot believe that the mighty ba offers such a terrible product in i will spend more to fly better and actively avoid ba on long haul 
623, the flight departure was delayed due to what the captain described in his announcement as a mix up with paperwork disembarkation was delayed due to what he also described as a mix up with landing bridge allocation so the plane had to taxi around the runway until a gate was found we missed our connecting flight the staff in purple at the airport who are supposed to help passengers find connecting flights didn t know what to do we ended up being shunted onto another flight resulting in a four hour delay all of this inconvenience is due to ba s incompetent management my seat would not recline and the food was just carbohydrate filigree the flight attendants are rude it used to be a good airline 
624, london heathrow to lisbon mediocre the flight was very smooth and arrived on time cabin service left a great deal to be desired and staff seemed to be just going through the motions no bread roll was offered during meal service and despite requesting a glass of wine to accompany the meal this was not forthcoming and staff required a nudge before it was delivered not a great club europe experience 
625, london to boston comfortable flight in economy class food was fairly good both ways dinner for the evening flight west and the returning night flight east got some solid sleep in on the flight back 
626, tirana to london gatwick i fly british airways around six times a month thanks to my work and while i almost always have a pleasant experience this past flight definitely outdid all the others we boarded and departed exactly on time with a very friendly and welcoming crew while the flight was fully booked my travel companion and i were lucky that no one was sitting on our row so that we could have an empty middle seat and therefore more space the best surprise of this flight by far was the availability of wi fi which i have never had on any other british airways flight within europe in fact the wi fi package i got which included only texting was unlimited and incredibly fast as good as my home connection this truly made this flight more enjoyable as it allowed me to continue my business even during the flight which is extremely valuable to me something that british airways can improve on would be leg space which in this flight i noticed was particularly tight although that is a common problem for me as i am cm tall also for unknown reasons no food or snacks were served on this hours minute flight only drinks this was a slight struggle as i had skipped breakfast but i managed well the flight however arrived ahead of schedule and we de boarded quickly i always recommend ba and will continue to do so 
627, gatwick to st lucia great service on this flight thank you very much for the cabin and the great cabin crew excellent service 
628, london to singapore i have to commend ba staff on this occasion they were friendly welcoming and so accommodating to passengers throughout the flight even in the last few moments they were laughing and joking with us highly professional and sensitive to our needs despite their own tiredness thank you ba for making a long journey a tolerable one 
629, london to san francisco return in economy the seats are small outbound was bearable because there was an empty seat between the two of us but returning no empty seat and it was horrible i m only and female but couldn t lean down to the seat in front of me to collect my belongings if you want to get anything from your bag below the seat in front of you you will need to do some major maneuvering touching the person next to you throughout the flight is unavoidable i flew on a both ways they no longer have any air vents you can adjust so both flights got stuffy and warm i had to ask them to turn up the a c both ways i was literally sweating economy is small with the aircraft mostly made up of business class asian vegetarian meal was good as usual although the breakfast was terrible asian vegetarian breakfast in economy plus is much better i will find an alternative airline for my long haul flights it s not worth it 
630, gatwick to venice we have flown this route and class on two occasions and been pleased with all aspects on the recent trip we both had mobility issues and the check in operator immediately suggested their assistance service it was welcome and efficient particularly as the gate was a very distant one the flight departed to time the cabin staff were pleasant the food was good in flight information from the flight deck was good the landings were noticeably smooth the return journey was similarly good i was very satisfied 
631, bordeaux to gatwick british airways cancelled my september flight due to the pilots strike with advance notice i made alternative travel arrangements confirmed that i wanted to to cancel from my end in order to receive a refund and received confirmation from ba on august ba refunded my fare soon enough but i am still awaiting a refund for the euro cost of baggage that i paid six weeks later i lodged a complaint on th october no action i lodged another complaint on th october and still no action they cancelled my flight and won t refund my money and they call it customer service 
632, seychelles to london day time flight back to london staff were very welcoming greeted on entry to aircraft and shown to seats j k best seats as a couple to book as they are away from the toilet in the front cabin and the window k seat has direct access to the aisle on time departure and swift meal services nothing was any trouble at all and the flight was full easy access to the club kitchen after meal service and great entertainment i have found this flight great and love the inbound day time flight to london the easiest to travel on seat and screens worked great and no problems i loved every minute of the flight a big thank you to all the staff who were fantastic looking forward to my next flight to rio in december
633, london to belfast british airways bullied my parents and spoilt a special occasion i booked my parents on ba to attend my investiture at the palace my mother had a heart attack months ago and this was her first flight post recovery and i had chosen ba expecting the best level of service instead they were treated appallingly and felt bullied by the airline staff my mother suffers from claustrophobia and always requests an aisle seat and i booked my parents on aisle seats side by side i printed their boarding passes out myself with seats c and d on arrival at check in one of the boarding passes was not recognised by the scanner so assistance printed out a new one on going through security the boarding pass was again not recognised and a new pass was printed once my parents arrived at the gate they noticed that one of the seats had been changed my father explained the situation but the rep at check in started quoting the geneva convention that ba are only contracted to get them from a to b and could change seats if they wanted waiting at the gate to try and resolve the situation and eventually with minutes before airborne they were rushed into the aircraft and forced to sit apart with no care for their welfare or circumstances at no stage did they receive any apologetic words for someone recovering from a heart attack this was an unnecessary stressful event and spoilt what had been a special family occasion i have been holding on with the hope that bas slide from grace will halt but seem to be constantly disappointed i will await bas response to my parents i know they will not fly the carrier again but i will be handing back my ba amex and all points if an appropriate apology is not issued will update in summary don t trust ba with your loved ones care 
634, london to cape town we had booked business class tickets a year in advance for a trip to africa i usually fly star alliance but picked ba for a segment for better connection timing through london to cape town this was a huge mistake i had tried to reserve seats on ba website twice and was not able to do so then i tried to call ba twice and gave up after being on hold for an hour each time with no call back option when we arrived today in london from toronto at the connections desk seven hours before our flight we were told that business class was oversold and we would be downgraded to premium economy ba s representative told us that because we did not have reserved seats we were at the bottom of the list for business class and that loyalty customers would all have priority for seats over us but we would still be welcome in the lounge as if this was a bonus then there was a problem for us to clear security to get to the lounge since they could not print our boarding passes due to the down grade it took close to an hour to get settled into the lounge from the time we first arrived at the connecting desk we asked to speak to a manager but at each of our four interactions with ba staff we were told that they would get some to speak with us giving the impression that they were trying to pass off unhappy customers as fast as they could at one point i got visibly frustrated after the ba staff issuing our new boarding passes indicated that our down grade was voluntary which it definitely was not after two and a half hours ba customer service managers came to speak with us they were the first ones who were actually apologetic and tried to address the situation from a customer oriented perspective if british airways think giving bulkhead seats in premium economy and basic lounge access to paying business class passengers is adequate customer service for a downgrade from a paid business fare on our upcoming overnight flight i will not be booking flights on ba again 
635, san jose to london the tv screen of f was broken could not be locked into position that would allow to watch movies flight attendants could not fix it and suggested to move to a different seat which we slipped on purpose while checked in the back of the seat in front was dirty the tray on the d where i was moved to had a hole on the right side and the tv screen was not sensitive enough to be be operated by touch although my husband in e and me turned in the breakfast cards together the flight attendant insisted they don t have it and was not planning to wake him up and serve him breakfast flight attendants were doing their best but it seems that they were understaffed 
636, london heathrow to edinburgh boarding efficient flight was full so passengers asked to volunteer to check in hand luggage by doing so they would get priority boarding i took up the offer too out my laptop and carried it on to the plane the aircraft is only two months old and i was sat at the back of the plane f i am sure ryanair have more room british airways on this aircraft are offering an ultra low cost service under a cloak of legacy carrier legitimacy 
637, flight from gatwick to barbados check in and business lounge were good it looks like they had added champagne to the self service drinks which is a positive breakfast was good flight left on time boarding well run i have not flown in their economy cabin for a while and it seems ok new configuration but that does come with panasonic ife system which is way better than the old rockwell collins systems food was fine and service friendly 
638, we were not supposed to be on this flight but had been bumped from our icelandair flight and rebooked onto ba direct from toronto to london heathrow we tried to get it changed as we were supposed to fly into gatwick the flight was quite good service was fantastic and the chicken tikka masala was tasty the crew onboard was friendly flight was on time and landing was amazingly smooth 
639, i was travelling from jeddah to london with a bag i arrive hour minutes earlier but the check in counter was closed i tried my best but there was no staff to help me so i have to leave my bag as i was not allowed to take the bag on the plane in london i made a complaint but they were saying that we can t do any thing and to get through to customer service the phone call takes about hour and minutes of wait
